u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
-0.000709413,0.000142318,0.000427967,0.000144658,0.00111905,-0.000152933,-0.00647804,0.0236495,3.13963,0.00782701,-1,0,-1,366990,4.42991e+06,224.312,-0.00142913,-0.00745003,0.0140545,0.000179834,0.0293542,-0.000180652,0.000140869,0.00111803,-0.000160223,0.236964,-20,0.100434,0,1621627943471205569
-0.000826153,0.000149742,-0.000212303,0.000197539,0.000266683,-0.000129659,-0.00647478,0.0236579,3.13963,0.00782701,-1,0,-1,366990,4.42991e+06,224.312,0.000159063,-0.00327594,-0.0320363,0.00270675,-0.0455822,0.00124591,0.00019443,0.000265838,-0.000131419,0.237036,14.7525,0.100403,0,1621627943481179797
-0.000826153,0.000149742,-0.000212303,0.000197539,0.000266683,-0.000129659,-0.00647478,0.0236579,3.13963,0.00782472,-1,0,-1,366990,4.42991e+06,224.312,0.000159063,-0.00327594,-0.0320363,0.00270675,-0.0455822,0.00124591,0.00019443,0.000265838,-0.000131419,0.237036,14.7525,0.100403,0,1621627943491207732
-0.000763773,0.000164702,-0.0006017,0.000213491,-0.000412114,-0.000110223,-0.00647122,0.0236537,3.13963,0.00782472,-1,0,-1,366990,4.42991e+06,224.312,-0.000431327,0.00584527,-0.0207662,0.000368318,-0.0386109,0.00113104,0.000210947,-0.000412818,-0.000107584,0.236922,14.7486,0.100343,0,1621627943501204275
-0.000763773,0.000164702,-0.0006017,0.000213491,-0.000412114,-0.000110223,-0.00647122,0.0236537,3.13963,0.00782807,-1,0,-1,366990,4.42991e+06,224.312,-0.000431327,0.00584527,-0.0207662,0.000368318,-0.0386109,0.00113104,0.000210947,-0.000412818,-0.000107584,0.236922,14.7486,0.100343,0,1621627943511227249
-0.000636487,0.000190327,5.31159e-05,0.000137627,0.00038387,-0.000115253,-0.00646818,0.0236575,3.13963,0.00782807,1,0,-1,366990,4.42991e+06,224.312,-0.00157538,0.00367788,0.0292287,-0.00202336,0.038105,-0.000316912,0.000134841,0.000383116,-0.000117766,0.237083,-20,0.100321,0,1621627943521171661
-0.000664461,0.000195913,0.000291153,0.00012562,0.000746895,-0.000117186,-0.00646679,0.0236648,3.13962,0.00780412,1,0,-1,366990,4.42991e+06,224.312,-0.000937915,-0.00389248,0.0200187,-0.00126082,0.0316822,-0.000130845,0.000122732,0.000746122,-0.000122048,0.236779,-20,0.100334,0,1621627943531171148
-0.000664461,0.000195913,0.000291153,0.00012562,0.000746895,-0.000117186,-0.00646679,0.0236648,3.13962,0.00780786,1,0,-1,366990,4.42991e+06,224.312,-0.000937915,-0.00389248,0.0200187,-0.00126082,0.0316822,-0.000130845,0.000122732,0.000746122,-0.000122048,0.236779,-20,0.100334,0,1621627943541171390
-0.000807358,0.000200215,0.000577245,0.000100752,0.00125611,-0.000117865,-0.00646489,0.0236856,3.13962,0.00780786,1,0,-1,366990,4.42991e+06,224.312,-0.00047748,-0.00938354,0.013728,-0.00120352,0.026352,-8.18358e-06,9.77674e-05,0.00125532,-0.000126018,0.23688,-20,0.100337,0,1621627943551165310
-0.000990268,0.000199172,0.000719406,8.64864e-05,0.00157964,-0.000117192,-0.00646368,0.0237067,3.13962,0.00782216,1,0,-1,366990,4.42991e+06,224.312,-0.000118848,-0.0139033,0.00911734,-0.000945245,0.0221872,6.29585e-05,8.34656e-05,0.00157885,-0.000127436,0.237134,-20,0.100337,0,1621627943561195240
-0.000990268,0.000199172,0.000719406,8.64864e-05,0.00157964,-0.000117192,-0.00646368,0.0237067,3.13962,0.00783514,-1,0,-1,366990,4.42991e+06,224.312,-0.000118848,-0.0139033,0.00911734,-0.000945245,0.0221872,6.29585e-05,8.34656e-05,0.00157885,-0.000127436,0.237134,-20,0.100337,0,1621627943571203612
-0.00121556,0.000183536,-4.67663e-05,0.000127941,0.000544169,-8.81026e-05,-0.00646135,0.0237225,3.13962,0.00783514,-1,0,-1,366990,4.42991e+06,224.312,0.00139646,-0.00717108,-0.0338647,0.00185464,-0.0491029,0.00138408,0.000125767,0.000543588,-9.16426e-05,0.237294,14.7538,0.100292,0,1621627943581199413
-0.00121556,0.000183536,-4.67663e-05,0.000127941,0.000544169,-8.81026e-05,-0.00646135,0.0237225,3.13962,0.00783173,-1,0,-1,366990,4.42991e+06,224.312,0.00139646,-0.00717108,-0.0338647,0.00185464,-0.0491029,0.00138408,0.000125767,0.000543588,-9.16426e-05,0.237294,14.7538,0.100292,0,1621627943591170238
-0.00119684,0.000178626,-0.000398747,0.000142573,-6.86249e-05,-6.94246e-05,-0.00645938,0.0237236,3.13962,0.00783173,-1,0,-1,366990,4.42991e+06,224.312,0.00081471,0.00347673,-0.0225422,0.000772281,-0.041378,0.00126255,0.000140936,-6.90719e-05,-6.89993e-05,0.237184,14.7433,0.100225,0,1621627943601227889
-0.00105658,0.000174225,-0.000689692,0.000137935,-0.000686377,-4.81515e-05,-0.00645709,0.0237149,3.13962,0.00783215,-1,0,-1,366990,4.42991e+06,224.312,0.000672657,0.0104118,-0.0164333,-0.000749008,-0.0368976,0.00131127,0.000136898,-0.000686673,-4.37308e-05,0.237175,14.7544,0.100169,0,1621627943611202388
-0.00105658,0.000174225,-0.000689692,0.000137935,-0.000686377,-4.81515e-05,-0.00645709,0.0237149,3.13962,0.00782938,1,0,-1,366990,4.42991e+06,224.312,0.000672657,0.0104118,-0.0164333,-0.000749008,-0.0368976,0.00131127,0.000136898,-0.000686673,-4.37308e-05,0.237175,14.7544,0.100169,0,1621627943621212032
-0.00105658,0.000174225,-0.000689692,0.000137935,-0.000686377,-4.81515e-05,-0.00645709,0.0237149,3.13962,0.00782938,1,0,-1,366990,4.42991e+06,224.312,0.000672657,0.0104118,-0.0164333,-0.000749008,-0.0368976,0.00131127,0.000136898,-0.000686673,-4.37308e-05,0.237175,14.7544,0.100169,0,1621627943631257288
-0.00105658,0.000174225,-0.000689692,0.000137935,-0.000686377,-4.81515e-05,-0.00645709,0.0237149,3.13962,0.00782938,1,0,-1,366990,4.42991e+06,224.312,0.000672657,0.0104118,-0.0164333,-0.00547127,0.0384135,9.42151e-05,0.000136898,-0.000686673,-4.37308e-05,0.237147,-20,0.100138,0,1621627943641335142
-0.000738384,0.000155762,0.000499447,2.83683e-05,0.000806015,-4.63002e-05,-0.00645603,0.0237333,3.13961,0.00782938,1,0,-1,366990,4.42991e+06,224.312,0.000586392,0.00256338,0.0227141,0.000105105,0.0346785,-3.54877e-06,2.71457e-05,0.0008057,-5.15174e-05,0.237385,-20,0.100132,0,1621627943651253853
-0.000738384,0.000155762,0.000499447,2.83683e-05,0.000806015,-4.63002e-05,-0.00645603,0.0237333,3.13961,0.00780469,1,0,-1,366990,4.42991e+06,224.312,0.000586392,0.00256338,0.0227141,0.000105105,0.0346785,-3.54877e-06,2.71457e-05,0.0008057,-5.15174e-05,0.23701,-20,0.100133,0,1621627943661218797
-0.000910762,0.000133344,0.000708555,1.57415e-05,0.00132552,-4.10043e-05,-0.00645566,0.0237585,3.13961,0.00780469,-1,0,-1,366990,4.42991e+06,224.312,0.000859185,-0.00982668,0.0085956,-0.000572389,0.0234679,0.000267844,1.45638e-05,0.00132523,-4.95744e-05,0.237024,-20,0.100125,0,1621627943671209988
-0.00102528,0.000113054,0.000233955,4.26033e-05,0.000728386,-2.12135e-05,-0.00645524,0.0237688,3.13961,0.00782054,-1,0,-1,366990,4.42991e+06,224.312,0.00247273,-0.00729876,-0.0375451,0.00224727,-0.0489803,0.00162591,4.19872e-05,0.000728234,-2.59222e-05,0.237246,14.7571,0.100088,0,1621627943681208073
-0.00104659,9.91575e-05,-9.89785e-05,6.06003e-05,0.000247849,-4.7381e-06,-0.00645465,0.0237726,3.13961,0.00781344,-1,0,-1,366990,4.42991e+06,224.312,0.00193118,-0.000203796,-0.0296229,0.00161749,-0.0442724,0.00152357,6.04496e-05,0.000247813,-6.33956e-06,0.237091,14.7455,0.100037,0,1621627943691207963
-0.00100129,8.78735e-05,-0.000372868,7.30795e-05,-0.000204548,1.11096e-05,-0.00645387,0.0237716,3.13961,0.00781262,-1,0,-1,366990,4.42991e+06,224.312,0.00150691,0.00565339,-0.0230454,0.000905952,-0.0397077,0.00139127,7.3375e-05,-0.000204472,1.2433e-05,0.237044,14.7456,0.0999902,0,1621627943701174391
