u,v,w,p,q,r,phi,theta,psi,roll_ctrl,pitch_ctrl,yaw_ctrl,throttle_ctrl,E,N,U,u_dot,v_dot,w_dot,p_dot,q_dot,r_dot,phi_dot,theta_dot,psi_dot,delta_a,delta_e,delta_r,delta_T,timestamp
55.0019,0.0144802,0.396332,-5.30466e-05,-6.19037e-05,0.000724283,0.0104853,0.00254199,1.54674,-0.00473377,-0.170123,0,0.528041,361003,4.43639e+06,2437.83,-0.00490238,0.0298965,-0.00974214,-0.000938217,-0.000504086,0.000180683,-5.12073e-05,-6.94945e-05,0.000723596,0.056376,0.873305,0.14253,0.764021,1613781479652601194
55.0018,0.0143358,0.396142,-6.70852e-05,-6.94593e-05,0.000726708,0.0104844,0.00254091,1.54675,-0.00474715,-0.170145,0,0.528179,361004,4.43639e+06,2437.83,-0.0049663,0.029937,-0.00928261,-0.000913017,-0.000496484,0.000163916,-6.52406e-05,-7.70744e-05,0.000725942,0.0562602,0.873445,0.142525,0.764089,1613781479662634065
55.0018,0.0143358,0.396142,-6.70852e-05,-6.94593e-05,0.000726708,0.0104844,0.00254091,1.54675,-0.00476288,-0.170156,0,0.52837,361004,4.43639e+06,2437.83,-0.0049663,0.029937,-0.00928261,-0.000913017,-0.000496484,0.000163916,-6.52406e-05,-7.70744e-05,0.000725942,0.0562602,0.873445,0.142525,0.764185,1613781479672598178
55.0017,0.0141629,0.395909,-8.3784e-05,-8.049e-05,0.000729296,0.010483,0.0025394,1.54676,-0.00476288,-0.170198,0,0.528302,361005,4.43639e+06,2437.83,-0.00503587,0.0299894,-0.00878892,-0.00087165,-0.000586998,0.000140985,-8.19343e-05,-8.81307e-05,0.000728414,0.0561246,0.873874,0.142519,0.764151,1613781479682604930
55.0017,0.0141629,0.395909,-8.3784e-05,-8.049e-05,0.000729296,0.010483,0.0025394,1.54676,-0.00478216,-0.170179,0,0.528544,361005,4.43639e+06,2437.83,-0.00503587,0.0299894,-0.00878892,-0.00087165,-0.000586998,0.000140985,-8.19343e-05,-8.81307e-05,0.000728414,0.0561246,0.873874,0.142519,0.764272,1613781479692567099
55.0016,0.0139789,0.395672,-0.000100701,-9.08208e-05,0.000731483,0.0104813,0.00253768,1.54677,-0.00478216,-0.17022,0,0.52848,361006,4.43639e+06,2437.83,-0.00510218,0.0300461,-0.00814069,-0.000864627,-0.000539584,0.000114816,-9.88473e-05,-9.84825e-05,0.000730493,0.0559553,0.873979,0.142514,0.76424,1613781479702562770
55.0016,0.0139789,0.395672,-0.000100701,-9.08208e-05,0.000731483,0.0104813,0.00253768,1.54677,-0.00480146,-0.170203,0,0.52873,361006,4.43639e+06,2437.83,-0.00510218,0.0300461,-0.00814069,-0.00102382,-0.00040598,0.000103865,-9.88473e-05,-9.84825e-05,0.000730493,0.0557726,0.873759,0.142512,0.764365,1613781479712568956
55.0015,0.0138236,0.395477,-0.000115237,-9.66145e-05,0.000732973,0.0104796,0.00253612,1.54678,-0.00480146,-0.170246,0,0.528668,361007,4.43639e+06,2437.83,-0.00515244,0.0300914,-0.00745974,-0.000892242,-0.000357708,9.26304e-05,-0.000113381,-0.00010429,0.000731923,0.0557838,0.87372,0.14251,0.764334,1613781479722569037
55.0015,0.0138236,0.395477,-0.000115237,-9.66145e-05,0.000732973,0.0104796,0.00253612,1.54678,-0.00481805,-0.170257,0,0.528878,361007,4.43639e+06,2437.83,-0.00515244,0.0300914,-0.00745974,-0.000892242,-0.000357708,9.26304e-05,-0.000113381,-0.00010429,0.000731923,0.0557838,0.87372,0.14251,0.764439,1613781479732562084
55.0014,0.0135732,0.395167,-0.000136602,-0.000111967,0.000734686,0.0104766,0.00253339,1.5468,-0.00481805,-0.170299,0,0.528819,361008,4.43639e+06,2437.83,-0.00519868,0.0301516,-0.00695337,-0.000803667,-0.000595577,6.25817e-05,-0.000134744,-0.000119658,0.000733475,0.055644,0.87456,0.142506,0.76441,1613781479742565343
55.0013,0.013459,0.395034,-0.000147158,-0.00011442,0.000735149,0.0104751,0.0025321,1.54681,-0.00484391,-0.170234,0,0.529177,361009,4.43639e+06,2437.83,-0.00522938,0.0301944,-0.00613479,-0.000950237,-0.000221557,3.89086e-05,-0.0001453,-0.000122114,0.000733913,0.0554058,0.873822,0.142504,0.764589,1613781479752564046
55.0012,0.0133104,0.394856,-0.000161136,-0.000118466,0.000735544,0.0104728,0.0025303,1.54682,-0.00485537,-0.170262,0,0.529319,361009,4.43639e+06,2437.83,-0.00524053,0.0302255,-0.00574983,-0.000907746,-0.000256504,2.1663e-05,-0.000159278,-0.000126163,0.000734265,0.0553088,0.874043,0.142503,0.76466,1613781479762645234
55.0012,0.0133104,0.394856,-0.000161136,-0.000118466,0.000735544,0.0104728,0.0025303,1.54682,-0.00487049,-0.170276,0,0.52954,361009,4.43639e+06,2437.83,-0.00524053,0.0302255,-0.00574983,-0.000907746,-0.000256504,2.1663e-05,-0.000159278,-0.000126163,0.000734265,0.0553088,0.874043,0.142503,0.76477,1613781479772634463
55.0011,0.0131296,0.394651,-0.000177022,-0.000125418,0.000735668,0.0104699,0.00252811,1.54683,-0.00487049,-0.170319,0,0.52949,361010,4.43639e+06,2437.83,-0.00524792,0.0302619,-0.00532669,-0.000874987,-0.000382178,3.08079e-07,-0.000175166,-0.000133114,0.000734317,0.0551786,0.874528,0.142502,0.764745,1613781479782802917
55.0011,0.0131296,0.394651,-0.000177022,-0.000125418,0.000735668,0.0104699,0.00252811,1.54683,-0.00488791,-0.170311,0,0.529761,361010,4.43639e+06,2437.83,-0.00524792,0.0302619,-0.00532669,-0.000874987,-0.000382178,3.08079e-07,-0.000175166,-0.000133114,0.000734317,0.0551786,0.874528,0.142502,0.764881,1613781479792624794
55.001,0.0129609,0.394451,-0.000192503,-0.000132766,0.00073541,0.0104669,0.00252584,1.54684,-0.00488791,-0.170355,0,0.529715,361011,4.43639e+06,2437.83,-0.0052467,0.030297,-0.00482617,-0.000874826,-0.000417519,-2.22909e-05,-0.000190649,-0.000140456,0.000733983,0.0550261,0.874803,0.142503,0.764858,1613781479802678362
55.001,0.0129609,0.394451,-0.000192503,-0.000132766,0.00073541,0.0104669,0.00252584,1.54684,-0.00490534,-0.170333,0,0.529964,361011,4.43639e+06,2437.83,-0.0052467,0.030297,-0.00482617,-0.000874826,-0.000417519,-2.22909e-05,-0.000190649,-0.000140456,0.000733983,0.0550261,0.874803,0.142503,0.764982,1613781479812641372
55.001,0.0129609,0.394451,-0.000192503,-0.000132766,0.00073541,0.0104669,0.00252584,1.54684,-0.00490534,-0.170376,0,0.529921,361011,4.43639e+06,2437.83,-0.0052467,0.030297,-0.00482617,-0.000874826,-0.000417519,-2.22909e-05,-0.000190649,-0.000140456,0.000733983,0.0550261,0.874803,0.142503,0.76496,1613781479822646300
55.0008,0.0125559,0.393955,-0.000225638,-0.000154343,0.000733636,0.0104583,0.00251962,1.54687,-0.00490534,-0.170419,0,0.529877,361013,4.43639e+06,2437.83,-0.0052275,0.0303484,-0.00391246,-0.000663867,-0.000462738,-5.98464e-05,-0.000223794,-0.000162007,0.000731984,0.0548901,0.875273,0.142504,0.764939,1613781479832607188
55.0007,0.012414,0.393802,-0.000239703,-0.000149031,0.000732391,0.010455,0.0025174,1.54688,-0.00494461,-0.170246,0,0.530546,361014,4.43639e+06,2437.83,-0.00519105,0.0303842,-0.00252733,-0.000945977,0.000371218,-9.36126e-05,-0.000237864,-0.00015668,0.000730795,0.0545253,0.873448,0.142508,0.765273,1613781479842634189
55.0006,0.0123055,0.393687,-0.000250517,-0.000147935,0.000731271,0.0104524,0.00251573,1.54689,-0.00495841,-0.17032,0,0.530807,361015,4.43639e+06,2437.83,-0.00515672,0.0304005,-0.00234861,-0.000958143,0.000119621,-0.000108153,-0.000248681,-0.00015557,0.000729687,0.0544045,0.874161,0.142511,0.765404,1613781479852644235
55.0006,0.0123055,0.393687,-0.000250517,-0.000147935,0.000731271,0.0104524,0.00251573,1.54689,-0.0049685,-0.17036,0,0.530979,361015,4.43639e+06,2437.83,-0.00515672,0.0304005,-0.00234861,-0.000958143,0.000119621,-0.000108153,-0.000248681,-0.00015557,0.000729687,0.0544045,0.874161,0.142511,0.76549,1613781479862603974
55.0005,0.0120951,0.393468,-0.000269958,-0.000151413,0.000728781,0.0104469,0.00251244,1.54691,-0.0049685,-0.170402,0,0.530948,361016,4.43639e+06,2437.83,-0.00510605,0.0304198,-0.0020714,-0.000842748,-0.000131938,-0.000127706,-0.000268131,-0.000159018,0.000727162,0.0543258,0.874928,0.142515,0.765474,1613781479872571798
55.0005,0.0120951,0.393468,-0.000269958,-0.000151413,0.000728781,0.0104469,0.00251244,1.54691,-0.00498901,-0.170392,0,0.531309,361016,4.43639e+06,2437.83,-0.00510605,0.0304198,-0.0020714,-0.000842748,-0.000131938,-0.000127706,-0.000268131,-0.000159018,0.000727162,0.0543258,0.874928,0.142515,0.765655,1613781479882578516
55.0004,0.011937,0.393303,-0.000285344,-0.000154407,0.000726465,0.0104424,0.00250983,1.54692,-0.00498901,-0.170432,0,0.531282,361017,4.43639e+06,2437.83,-0.00503955,0.0304335,-0.00159748,-0.000885454,-0.000161588,-0.000148218,-0.000283525,-0.000161984,0.000724815,0.0541443,0.875161,0.14252,0.765641,1613781479892629643
55.0003,0.011804,0.393165,-0.000298642,-0.000155786,0.00072421,0.0104382,0.00250754,1.54693,-0.00500396,-0.17043,0,0.53156,361018,4.43639e+06,2437.83,-0.0049749,0.0304382,-0.00114737,-0.000888033,-8.19233e-05,-0.000163604,-0.000296831,-0.000163337,0.000722547,0.0540146,0.875089,0.142525,0.76578,1613781479902607860
55.0003,0.011804,0.393165,-0.000298642,-0.000155786,0.00072421,0.0104382,0.00250754,1.54693,-0.00501705,-0.170437,0,0.531791,361018,4.43639e+06,2437.83,-0.0049749,0.0304382,-0.00114737,-0.000888033,-8.19233e-05,-0.000163604,-0.000296831,-0.000163337,0.000722547,0.0540146,0.875089,0.142525,0.765896,1613781479912635473
55.0003,0.0116818,0.393036,-0.000311204,-0.000157822,0.000721838,0.0104341,0.00250532,1.54694,-0.00501705,-0.170477,0,0.53177,361018,4.43639e+06,2437.83,-0.00490933,0.0304483,-0.00088518,-0.000875909,-0.000219753,-0.00018045,-0.0003094,-0.000165345,0.000720155,0.0539017,0.875524,0.14253,0.765885,1613781479922598412
55.0002,0.0115291,0.392898,-0.000324497,-0.000160456,0.00071905,0.0104294,0.00250287,1.54695,-0.00502872,-0.170482,0,0.531997,361019,4.43639e+06,2437.83,-0.00483701,0.030452,-0.000486449,-0.000847599,-0.000162061,-0.00019589,-0.000322702,-0.000167946,0.00071734,0.0538032,0.875518,0.142536,0.765999,1613781479932593083
55.0002,0.0115291,0.392898,-0.000324497,-0.000160456,0.00071905,0.0104294,0.00250287,1.54695,-0.00504229,-0.170477,0,0.532237,361019,4.43639e+06,2437.83,-0.00483701,0.030452,-0.000486449,-0.000847599,-0.000162061,-0.00019589,-0.000322702,-0.000167946,0.00071734,0.0538032,0.875518,0.142536,0.766118,1613781479942572815
55.0001,0.011375,0.392744,-0.00033926,-0.000164663,0.000715611,0.0104239,0.00250004,1.54696,-0.00504229,-0.170517,0,0.53222,361020,4.43639e+06,2437.83,-0.00475236,0.0304531,-0.000155238,-0.000828082,-0.000229926,-0.000212572,-0.000337475,-0.000172113,0.000713857,0.0536871,0.87582,0.142543,0.76611,1613781479952609928
55.0001,0.011375,0.392744,-0.00033926,-0.000164663,0.000715611,0.0104239,0.00250004,1.54696,-0.00505641,-0.170492,0,0.532483,361020,4.43639e+06,2437.83,-0.00475236,0.0304531,-0.000155238,-0.000828082,-0.000229926,-0.000212572,-0.000337475,-0.000172113,0.000713857,0.0536871,0.87582,0.142543,0.766242,1613781479962611382
55.0001,0.011375,0.392744,-0.00033926,-0.000164663,0.000715611,0.0104239,0.00250004,1.54696,-0.00505641,-0.170533,0,0.53247,361020,4.43639e+06,2437.83,-0.00475236,0.0304531,-0.000155238,-0.000828082,-0.000229926,-0.000212572,-0.000337475,-0.000172113,0.000713857,0.0536871,0.87582,0.142543,0.766235,1613781479972644156
55,0.0111495,0.392499,-0.000362854,-0.000175501,0.000710107,0.0104148,0.00249544,1.54698,-0.00505641,-0.170575,0,0.532456,361021,4.43639e+06,2437.83,-0.00470555,0.0304506,-0.000100051,-0.000535793,-0.000269664,-0.000247912,-0.000361087,-0.000182887,0.000708243,0.053589,0.876251,0.142559,0.766228,1613781479982599729
54.9998,0.0109311,0.392264,-0.000376316,-0.000182277,0.000703878,0.0104054,0.00249068,1.547,-0.0050778,-0.170462,0,0.53286,361023,4.43639e+06,2437.83,-0.00455192,0.0304434,0.000702411,-0.000535793,-0.000269664,-0.000247912,-0.000374568,-0.000189591,0.000701946,0.053589,0.876251,0.142559,0.76643,1613781479992625478
54.9997,0.0107738,0.392121,-0.000393732,-0.00016938,0.000698637,0.010398,0.00248724,1.54701,-0.00509777,-0.170373,0,0.533266,361024,4.43639e+06,2437.83,-0.00433122,0.030407,0.00211825,-0.00084138,0.000656655,-0.000277442,-0.000391999,-0.000176635,0.000696841,0.0532066,0.874167,0.142579,0.766633,1613781480002600889
54.9997,0.0106821,0.392037,-0.000404503,-0.000165758,0.000695232,0.0103933,0.00248518,1.54702,-0.00511288,-0.170462,0,0.533618,361025,4.43639e+06,2437.83,-0.00421366,0.0303938,0.00218216,-0.000865871,0.000321103,-0.000290942,-0.000402779,-0.000172975,0.000693474,0.0530745,0.875058,0.142588,0.766809,1613781480012602969
54.9997,0.0106821,0.392037,-0.000404503,-0.000165758,0.000695232,0.0103933,0.00248518,1.54702,-0.00512119,-0.170497,0,0.533816,361025,4.43639e+06,2437.83,-0.00421366,0.0303938,0.00218216,-0.000865871,0.000321103,-0.000290942,-0.000402779,-0.000172975,0.000693474,0.0530745,0.875058,0.142588,0.766908,1613781480022608706
54.9996,0.0105422,0.391917,-0.000419353,-0.000164931,0.000690092,0.0103861,0.0024822,1.54703,-0.00512119,-0.170534,0,0.533817,361025,4.43639e+06,2437.83,-0.00409711,0.0303714,0.00228415,-0.000791672,6.74729e-05,-0.000300994,-0.000417644,-0.000172089,0.000688344,0.0530099,0.875764,0.142598,0.766908,1613781480032686679
54.9996,0.0105422,0.391917,-0.000419353,-0.000164931,0.000690092,0.0103861,0.0024822,1.54703,-0.00513369,-0.170531,0,0.534088,361025,4.43639e+06,2437.83,-0.00409711,0.0303714,0.00228415,-0.000791672,6.74729e-05,-0.000300994,-0.000417644,-0.000172089,0.000688344,0.0530099,0.875764,0.142598,0.767044,1613781480042645165
54.9996,0.0105422,0.391917,-0.000419353,-0.000164931,0.000690092,0.0103861,0.0024822,1.54703,-0.00513369,-0.170566,0,0.534092,361025,4.43639e+06,2437.83,-0.00409711,0.0303714,0.00228415,-0.000791672,6.74729e-05,-0.000300994,-0.000417644,-0.000172089,0.000688344,0.0530099,0.875764,0.142598,0.767046,1613781480052615699
54.9994,0.0102765,0.391673,-0.000446303,-0.000170124,0.000678903,0.0103705,0.00247593,1.54705,-0.00513369,-0.170601,0,0.534096,361027,4.43639e+06,2437.83,-0.00387705,0.0303279,0.00266824,-0.000627836,-0.000104864,-0.000321272,-0.000444627,-0.000177155,0.000677105,0.0529168,0.876365,0.142616,0.767048,1613781480062599684
54.9994,0.0101752,0.391595,-0.000457232,-0.000164555,0.00067436,0.0103644,0.00247359,1.54706,-0.0051585,-0.170488,0,0.53463,361028,4.43639e+06,2437.83,-0.00366835,0.0302794,0.00342302,-0.000770601,0.000405596,-0.000339289,-0.000455568,-0.000171536,0.00067262,0.0526919,0.875213,0.142633,0.767315,1613781480072621704
54.9993,0.010109,0.391537,-0.000465633,-0.000161931,0.000670737,0.0103595,0.00247181,1.54707,-0.00516736,-0.17053,0,0.53485,361029,4.43639e+06,2437.83,-0.00355792,0.0302507,0.00350012,-0.000763534,0.000257568,-0.000345673,-0.000463979,-0.000168871,0.000669025,0.0526167,0.875622,0.142642,0.767425,1613781480082591153
54.9993,0.010109,0.391537,-0.000465633,-0.000161931,0.000670737,0.0103595,0.00247181,1.54707,-0.0051736,-0.170552,0,0.535015,361029,4.43639e+06,2437.83,-0.00355792,0.0302507,0.00350012,-0.000763534,0.000257568,-0.000345673,-0.000463979,-0.000168871,0.000669025,0.0526167,0.875622,0.142642,0.767508,1613781480092598536
54.9993,0.0100025,0.391459,-0.000476536,-0.000161323,0.000665709,0.0103527,0.0024694,1.54708,-0.0051736,-0.170586,0,0.535028,361030,4.43639e+06,2437.83,-0.00344186,0.0302224,0.00354682,-0.000712975,5.62681e-05,-0.0003538,-0.000474896,-0.000168206,0.000664005,0.0525681,0.876175,0.142652,0.767514,1613781480102564332
